brand_id,class_id,drive_id,Model,MSRP,DealerCost,EngineSize,Cylinders,HorsePower,MPG_City,MPG_Highway,Weight,Wheelbase,Length,car_id
1,1,1,MDX,36945,33337,3.5,6,265,17,23,4451,106,189,1
1,2,2,RSX Type S 2dr,23820,21761,2.0,4,200,24,31,2778,101,172,2
1,2,2,TSX 4dr,26990,24647,2.4,4,200,22,29,3230,105,183,3
1,2,2,TL 4dr,33195,30299,3.2,6,270,20,28,3575,108,186,4
1,2,2,3.5 RL 4dr,43755,39014,3.5,6,225,18,24,3880,115,197,5
1,2,2,3.5 RL w/Navigation 4dr,46100,41100,3.5,6,225,18,24,3893,115,197,6
1,3,3,NSX coupe 2dr manual S,89765,79978,3.2,6,290,17,24,3153,100,174,7
2,2,2,A4 1.8T 4dr,25940,23508,1.8,4,170,22,31,3252,104,179,8
2,2,2,A41.8T convertible 2dr,35940,32506,1.8,4,170,23,30,3638,105,180,9
2,2,2,A4 3.0 4dr,31840,28846,3.0,6,220,20,28,3462,104,179,10
2,2,1,A4 3.0 Quattro 4dr manual,33430,30366,3.0,6,220,17,26,3583,104,179,11
2,2,1,A4 3.0 Quattro 4dr auto,34480,31388,3.0,6,220,18,25,3627,104,179,12
2,2,2,A6 3.0 4dr,36640,33129,3.0,6,220,20,27,3561,109,192,13
2,2,1,A6 3.0 Quattro 4dr,39640,35992,3.0,6,220,18,25,3880,109,192,14
2,2,2,A4 3.0 convertible 2dr,42490,38325,3.0,6,220,20,27,3814,105,180,15
2,2,1,A4 3.0 Quattro convertible 2dr,44240,40075,3.0,6,220,18,25,4013,105,180,16
2,2,1,A6 2.7 Turbo Quattro 4dr,42840,38840,2.7,6,250,18,25,3836,109,192,17
2,2,1,A6 4.2 Quattro 4dr,49690,44936,4.2,8,300,17,24,4024,109,193,18
2,2,1,A8 L Quattro 4dr,69190,64740,4.2,8,330,17,24,4399,121,204,19
2,2,1,S4 Quattro 4dr,48040,43556,4.2,8,340,14,20,3825,104,179,20
2,3,2,RS 6 4dr,84600,76417,4.2,8,450,15,22,4024,109,191,21
2,3,2,TT 1.8 convertible 2dr (coupe),35940,32512,1.8,4,180,20,28,3131,95,159,22
2,3,1,TT 1.8 Quattro 2dr (convertible),37390,33891,1.8,4,225,20,28,2921,96,159,23
2,3,1,TT 3.2 coupe 2dr (convertible),40590,36739,3.2,6,250,21,29,3351,96,159,24
2,4,1,A6 3.0 Avant Quattro,40840,37060,3.0,6,220,18,25,4035,109,192,25
2,4,1,S4 Avant Quattro,49090,44446,4.2,8,340,15,21,3936,104,179,26
3,1,1,X3 3.0i,37000,33873,3.0,6,225,16,23,4023,110,180,27
3,1,1,X5 4.4i,52195,47720,4.4,8,325,16,22,4824,111,184,28
3,2,3,325i 4dr,28495,26155,2.5,6,184,20,29,3219,107,176,29
3,2,3,325Ci 2dr,30795,28245,2.5,6,184,20,29,3197,107,177,30
3,2,3,325Ci convertible 2dr,37995,34800,2.5,6,184,19,27,3560,107,177,31
3,2,1,325xi 4dr,30245,27745,2.5,6,184,19,27,3461,107,176,32
3,2,3,330i 4dr,35495,32525,3.0,6,225,20,30,3285,107,176,33
3,2,3,330Ci 2dr,36995,33890,3.0,6,225,20,30,3285,107,176,34
3,2,1,330xi 4dr,37245,34115,3.0,6,225,20,29,3483,107,176,35
3,2,3,525i 4dr,39995,36620,2.5,6,184,19,28,3428,114,191,36
3,2,3,330Ci convertible 2dr,44295,40530,3.0,6,225,19,28,3616,107,177,37
3,2,3,530i 4dr,44995,41170,3.0,6,225,20,30,3472,114,191,38
3,2,3,545iA 4dr,54995,50270,4.4,8,325,18,26,3814,114,191,39
3,2,3,745i 4dr,69195,63190,4.4,8,325,18,26,4376,118,198,40
3,2,3,745Li 4dr,73195,66830,4.4,8,325,18,26,4464,123,204,41
3,3,3,M3 coupe 2dr,48195,44170,3.2,6,333,16,24,3415,108,177,42
3,3,3,M3 convertible 2dr,56595,51815,3.2,6,333,16,23,3781,108,177,43
3,3,3,Z4 convertible 2.5i 2dr,33895,31065,2.5,6,184,20,28,2932,98,161,44
3,3,3,Z4 convertible 3.0i 2dr,41045,37575,3.0,6,225,21,29,2998,98,161,45
3,4,1,325xi Sport,32845,30110,2.5,6,184,19,26,3594,107,176,46
4,1,1,Rainier,37895,34357,4.2,6,275,15,21,4600,113,193,47
4,1,2,Rendezvous CX,26545,24085,3.4,6,185,19,26,4024,112,187,48
4,2,2,Century Custom 4dr,22180,20351,3.1,6,175,20,30,3353,109,195,49
4,2,2,LeSabre Custom 4dr,26470,24282,3.8,6,205,20,29,3567,112,200,50
4,2,2,Regal LS 4dr,24895,22835,3.8,6,200,20,30,3461,109,196,51
4,2,2,Regal GS 4dr,28345,26047,3.8,6,240,18,28,3536,109,196,52
4,2,2,LeSabre Limited 4dr,32245,29566,3.8,6,205,20,29,3591,112,200,53
4,2,2,Park Avenue 4dr,35545,32244,3.8,6,205,20,29,3778,114,207,54
4,2,2,Park Avenue Ultra 4dr,40720,36927,3.8,6,240,18,28,3909,114,207,55
5,1,2,Escalade,52795,48377,5.3,8,295,14,18,5367,116,199,56
5,1,2,SRX V8,46995,43523,4.6,8,320,16,21,4302,116,195,57
5,2,3,CTS VVT 4dr,30835,28575,3.6,6,255,18,25,3694,113,190,58
5,2,2,Deville 4dr,45445,41650,4.6,8,275,18,26,3984,115,207,59
5,2,2,Deville DTS 4dr,50595,46362,4.6,8,300,18,26,4044,115,207,60
5,2,2,Seville SLS 4dr,47955,43841,4.6,8,275,18,26,3992,112,201,61
5,3,3,XLR convertible 2dr,76200,70546,4.6,8,320,17,25,3647,106,178,62
5,5,1,Escalade EXT,52975,48541,6.0,8,345,13,17,5879,130,221,63
6,1,2,Suburban 1500 LT,42735,37422,5.3,8,295,14,18,4947,130,219,64
6,1,1,Tahoe LT,41465,36287,5.3,8,295,14,18,5050,116,197,65
6,1,2,TrailBlazer LT,30295,27479,4.2,6,275,16,21,4425,113,192,66
6,1,2,Tracker,20255,19108,2.5,6,165,19,22,2866,98,163,67
6,2,2,Aveo 4dr,11690,10965,1.6,4,103,28,34,2370,98,167,68
6,2,2,Aveo LS 4dr hatch,12585,11802,1.6,4,103,28,34,2348,98,153,69
6,2,2,Cavalier 2dr,14610,13697,2.2,4,140,26,37,2617,104,183,70
6,2,2,Cavalier 4dr,14810,13884,2.2,4,140,26,37,2676,104,183,71
6,2,2,Cavalier LS 2dr,16385,15357,2.2,4,140,26,37,2617,104,183,72
6,2,2,Impala 4dr,21900,20095,3.4,6,180,21,32,3465,111,200,73
6,2,2,Malibu 4dr,18995,17434,2.2,4,145,24,34,3174,106,188,74
6,2,2,Malibu LS 4dr,20370,18639,3.5,6,200,22,30,3297,106,188,75
6,2,2,Monte Carlo LS 2dr,21825,20026,3.4,6,180,21,32,3340,111,198,76
6,2,2,Impala LS 4dr,25000,22931,3.8,6,200,20,30,3476,111,200,77
6,2,2,Impala SS 4dr,27995,25672,3.8,6,240,18,28,3606,111,200,78
6,2,2,Malibu LT 4dr,23495,21551,3.5,6,200,23,32,3315,106,188,79
6,2,2,Monte Carlo SS 2dr,24225,22222,3.8,6,200,18,28,3434,111,198,80
6,2,1,Astro,26395,23954,4.3,6,190,14,17,4605,111,190,81
6,2,2,Venture LS,27020,24518,3.4,6,185,19,26,3699,112,187,82
6,3,3,Corvette 2dr,44535,39068,5.7,8,350,18,25,3246,105,180,83
6,3,3,Corvette convertible 2dr,51535,45193,5.7,8,350,18,25,3248,105,180,84
6,5,1,Avalanche 1500,36100,31689,5.3,8,295,14,18,5678,130,222,85
6,5,1,Colorado Z85,18760,17070,2.8,4,175,18,23,3623,111,192,86
6,5,3,Silverado 1500 Regular Cab,20310,18480,4.3,6,200,15,21,4142,119,206,87
6,5,1,Silverado SS,40340,35399,6.0,8,300,13,17,4804,144,238,88
6,5,3,SSR,41995,39306,5.3,8,300,16,19,4760,116,191,89
6,4,2,Malibu Maxx LS,22225,20394,3.5,6,200,22,30,3458,112,188,90
7,2,2,PT Cruiser 4dr,17985,16919,2.4,4,150,22,29,3101,103,169,91
7,2,2,PT Cruiser Limited 4dr,22000,20573,2.4,4,150,22,29,3105,103,169,92
7,2,2,Sebring 4dr,19090,17805,2.4,4,150,22,30,3173,108,191,93
7,2,2,Sebring Touring 4dr,21840,20284,2.7,6,200,21,28,3222,108,191,94
7,2,2,300M 4dr,29865,27797,3.5,6,250,18,27,3581,113,198,95
7,2,2,Concorde LX 4dr,24130,22452,2.7,6,200,21,29,3479,113,208,96
7,2,2,Concorde LXi 4dr,26860,24909,3.5,6,232,19,27,3548,113,208,97
7,2,2,PT Cruiser GT 4dr,25955,24172,2.4,4,220,21,27,3217,103,169,98
7,2,2,Sebring convertible 2dr,25215,23451,2.4,4,150,22,30,3357,106,194,99
7,2,2,300M Special Edition 4dr,33295,30884,3.5,6,255,18,27,3650,113,198,100
7,2,2,Sebring Limited convertible 2dr,30950,28613,2.7,6,200,21,28,3448,106,194,101
7,2,2,Town and Country LX,27490,25371,3.3,6,180,19,26,4068,119,201,102
7,2,2,Town and Country Limited,38380,35063,3.8,6,215,18,25,4331,119,201,103
7,3,3,Crossfire 2dr,34495,32033,3.2,6,215,17,25,3060,95,160,104
7,4,3,Pacifica,31230,28725,3.5,6,250,17,23,4675,116,199,105
8,1,1,Durango SLT,32235,29472,4.7,8,230,15,21,4987,119,201,106
8,2,2,Neon SE 4dr,13670,12849,2.0,4,132,29,36,2581,105,174,107
8,2,2,Neon SXT 4dr,15040,14086,2.0,4,132,29,36,2626,105,174,108
8,2,2,Intrepid SE 4dr,22035,20502,2.7,6,200,21,29,3469,113,204,109
8,2,2,Stratus SXT 4dr,18820,17512,2.4,4,150,21,28,3182,108,191,110
8,2,2,Stratus SE 4dr,20220,18821,2.4,4,150,21,28,3175,108,191,111
8,2,2,Intrepid ES 4dr,24885,23058,3.5,6,232,18,27,3487,113,204,112
8,2,2,Caravan SE,21795,20508,2.4,4,150,20,26,3862,113,189,113
8,2,1,Grand Caravan SXT,32660,29812,3.8,6,215,18,25,4440,119,201,114
8,3,3,Viper SRT-10 convertible 2dr,81795,74451,8.3,10,500,12,20,3410,99,176,115
8,5,3,Dakota Regular Cab,17630,16264,3.7,6,210,16,22,3714,112,193,116
8,5,3,Dakota Club Cab,20300,18670,3.7,6,210,16,22,3829,131,219,117
8,5,3,Ram 1500 Regular Cab ST,20215,18076,3.7,6,215,16,21,4542,121,208,118
9,1,1,Excursion 6.8 XLT,41475,36494,6.8,10,310,10,13,7190,137,227,119
9,1,2,Expedition 4.6 XLT,34560,30468,4.6,8,232,15,19,5000,119,206,120
9,1,1,Explorer XLT V6,29670,26983,4.0,6,210,15,20,4463,114,190,121
9,1,1,Escape XLS,22515,20907,3.0,6,201,18,23,3346,103,173,122
9,2,2,Focus ZX3 2dr hatch,13270,12482,2.0,4,130,26,33,2612,103,168,123
9,2,2,Focus LX 4dr,13730,12906,2.0,4,110,27,36,2606,103,168,124
9,2,2,Focus SE 4dr,15460,14496,2.0,4,130,26,33,2606,103,168,125
9,2,2,Focus ZX5 5dr,15580,14607,2.0,4,130,26,33,2691,103,168,126
9,2,2,Focus SVT 2dr,19135,17878,2.0,4,170,21,28,2750,103,168,127
9,2,2,Taurus LX 4dr,20320,18881,3.0,6,155,20,27,3306,109,198,128
9,2,2,Taurus SES Duratec 4dr,22735,20857,3.0,6,201,19,26,3313,109,198,129
9,2,3,Crown Victoria 4dr,24345,22856,4.6,8,224,17,25,4057,115,212,130
9,2,3,Crown Victoria LX 4dr,27370,25105,4.6,8,224,17,25,4057,115,212,131
9,2,3,Crown Victoria LX Sport 4dr,30315,27756,4.6,8,239,17,25,4057,115,212,132
9,2,2,Freestar SE,26930,24498,3.9,6,193,17,23,4275,121,201,133
9,3,3,Mustang 2dr (convertible),18345,16943,3.8,6,193,20,29,3290,101,183,134
9,3,3,Mustang GT Premium convertible 2dr,29380,26875,4.6,8,260,17,25,3347,101,183,135
9,3,2,Thunderbird Deluxe convert w/hardtop 2d,37530,34483,3.9,8,280,17,24,3780,107,186,136
9,5,3,F-150 Regular Cab XL,22010,19490,4.6,8,231,15,19,4788,126,211,137
9,5,1,F-150 Supercab Lariat,33540,29405,5.4,8,300,14,18,5464,133,218,138
9,5,3,Ranger 2.3 XL Regular Cab,14385,13717,2.3,4,143,24,29,3028,111,188,139
9,4,2,Focus ZTW,17475,16375,2.0,4,130,26,33,2702,103,178,140
9,4,2,Taurus SE,22290,20457,3.0,6,155,19,26,3497,109,198,141
10,1,2,Envoy XUV SLE,31890,28922,4.2,6,275,15,19,4945,129,208,142
10,1,2,Yukon 1500 SLE,35725,31361,4.8,8,285,16,19,5042,116,199,143
10,1,1,Yukon XL 2500 SLT,46265,40534,6.0,8,325,13,17,6133,130,219,144
10,2,3,Safari SLE,25640,23215,4.3,6,190,16,20,4309,111,190,145
10,5,3,Canyon Z85 SL Regular Cab,16530,14877,2.8,4,175,18,25,3351,111,192,146
10,5,3,Sierra Extended Cab 1500,25717,22604,4.8,8,285,17,20,4548,144,230,147
10,5,1,Sierra HD 2500,29322,25759,6.0,8,300,13,18,5440,133,222,148
10,5,1,Sonoma Crew Cab,25395,23043,4.3,6,190,15,19,4083,123,208,149
11,6,2,Civic Hybrid 4dr manual (gas/electric),20140,18451,1.4,4,93,46,51,2732,103,175,150
11,6,2,Insight 2dr (gas/electric),19110,17911,2.0,3,73,60,66,1850,95,155,151
11,1,1,Pilot LX,27560,24843,3.5,6,240,17,22,4387,106,188,152
11,1,1,CR-V LX,19860,18419,2.4,4,160,21,25,3258,103,179,153
11,1,1,Element LX,18690,17334,2.4,4,160,21,24,3468,101,167,154
11,2,2,Civic DX 2dr,13270,12175,1.7,4,115,32,38,2432,103,175,155
11,2,2,Civic HX 2dr,14170,12996,1.7,4,117,36,44,2500,103,175,156
11,2,2,Civic LX 4dr,15850,14531,1.7,4,115,32,38,2513,103,175,157
11,2,2,Accord LX 2dr,19860,17924,2.4,4,160,26,34,2994,105,188,158
11,2,2,Accord EX 2dr,22260,20080,2.4,4,160,26,34,3047,105,188,159
11,2,2,Civic EX 4dr,17750,16265,1.7,4,127,32,37,2601,103,175,160
11,2,2,Civic Si 2dr hatch,19490,17849,2.0,4,160,26,30,2782,101,166,161
11,2,2,Accord LX V6 4dr,23760,21428,3.0,6,240,21,30,3349,108,190,162
11,2,2,Accord EX V6 2dr,26960,24304,3.0,6,240,21,30,3294,105,188,163
11,2,2,Odyssey LX,24950,22498,3.5,6,240,18,25,4310,118,201,164
11,2,2,Odyssey EX,27450,24744,3.5,6,240,18,25,4365,118,201,165
11,3,3,S2000 convertible 2dr,33260,29965,2.2,4,240,20,25,2835,95,162,166
12,1,1,H2,49995,45815,6.0,8,316,10,12,6400,123,190,167
13,1,2,Santa Fe GLS,21589,20201,2.7,6,173,20,26,3549,103,177,168
13,2,2,Accent 2dr hatch,10539,10107,1.6,4,103,29,33,2255,96,167,169
13,2,2,Accent GL 4dr,11839,11116,1.6,4,103,29,33,2290,96,167,170
13,2,2,Accent GT 2dr hatch,11939,11209,1.6,4,103,29,33,2339,96,167,171
13,2,2,Elantra GLS 4dr,13839,12781,2.0,4,138,26,34,2635,103,178,172
13,2,2,Elantra GT 4dr,15389,14207,2.0,4,138,26,34,2635,103,178,173
13,2,2,Elantra GT 4dr hatch,15389,14207,2.0,4,138,26,34,2698,103,178,174
13,2,2,Sonata GLS 4dr,19339,17574,2.7,6,170,19,27,3217,106,187,175
13,2,2,Sonata LX 4dr,20339,18380,2.7,6,170,19,27,3217,106,187,176
13,2,2,XG350 4dr,24589,22055,3.5,6,194,17,26,3651,108,192,177
13,2,2,XG350 L 4dr,26189,23486,3.5,6,194,17,26,3651,108,192,178
13,3,2,Tiburon GT V6 2dr,18739,17101,2.7,6,172,19,26,3023,100,173,179
14,2,3,G35 4dr,28495,26157,3.5,6,260,18,26,3336,112,187,180
14,2,3,G35 Sport Coupe 2dr,29795,27536,3.5,6,280,18,26,3416,112,182,181
14,2,1,G35 4dr,32445,29783,3.5,6,260,18,26,3677,112,187,182
14,2,2,I35 4dr,31145,28320,3.5,6,255,19,26,3306,108,194,183
14,2,3,M45 4dr,42845,38792,4.5,8,340,17,23,3851,110,197,184
14,2,3,Q45 Luxury 4dr,52545,47575,4.5,8,340,17,23,3977,113,200,185
14,4,3,FX35,34895,31756,3.5,6,280,16,22,4056,112,189,186
14,4,1,FX45,36395,33121,4.5,8,315,15,19,4309,112,189,187
15,1,1,Ascender S,31849,29977,4.2,6,275,15,20,4967,129,208,188
15,1,2,Rodeo S,20449,19261,3.2,6,193,17,21,3836,106,178,189
16,2,1,X-Type 2.5 4dr,29995,27355,2.5,6,192,18,26,3428,107,184,190
16,2,1,X-Type 3.0 4dr,33995,30995,3.0,6,227,18,25,3516,107,184,191
16,2,3,S-Type 3.0 4dr,43895,40004,3.0,6,235,18,26,3777,115,192,192
16,2,3,S-Type 4.2 4dr,49995,45556,4.2,8,294,18,28,3874,115,192,193
16,2,3,S-Type R 4dr,63120,57499,4.2,8,390,17,24,4046,115,192,194
16,2,3,Vanden Plas 4dr,68995,62846,4.2,8,294,18,28,3803,119,200,195
16,2,3,XJ8 4dr,59995,54656,4.2,8,294,18,28,3803,119,200,196
16,2,3,XJR 4dr,74995,68306,4.2,8,390,17,24,3948,119,200,197
16,3,3,XK8 coupe 2dr,69995,63756,4.2,8,294,18,26,3779,102,187,198
16,3,3,XK8 convertible 2dr,74995,68306,4.2,8,294,18,26,3980,102,187,199
16,3,3,XKR coupe 2dr,81995,74676,4.2,8,390,16,23,3865,102,187,200
16,3,3,XKR convertible 2dr,86995,79226,4.2,8,390,16,23,4042,102,187,201
17,1,2,Grand Cherokee Laredo,27905,25686,4.0,6,195,16,21,3790,106,181,202
17,1,1,Liberty Sport,20130,18973,2.4,4,150,20,24,3826,104,174,203
17,1,1,Wrangler Sahara convertible 2dr,25520,23275,4.0,6,190,16,19,3575,93,150,204
18,1,2,Sorento LX,19635,18630,3.5,6,192,16,19,4112,107,180,205
18,2,2,Optima LX 4dr,16040,14910,2.4,4,138,23,30,3281,106,186,206
18,2,2,Rio 4dr manual,10280,9875,1.6,4,104,26,33,2403,95,167,207
18,2,2,Rio 4dr auto,11155,10705,1.6,4,104,25,32,2458,95,167,208
18,2,2,Spectra 4dr,12360,11630,1.8,4,124,24,32,2661,101,178,209
18,2,2,Spectra GS 4dr hatch,13580,12830,1.8,4,124,24,32,2686,101,178,210
18,2,2,Spectra GSX 4dr hatch,14630,13790,1.8,4,124,24,32,2697,101,178,211
18,2,2,Optima LX V6 4dr,18435,16850,2.7,6,170,20,27,3279,106,186,212
18,2,2,Amanti 4dr,26000,23764,3.5,6,195,17,25,4021,110,196,213
